across_flats,availability,category,condition,description,diameter,finish,grade,heat_treatment,height,leg1,leg2,length,material,minimum_order,outer_diameter,part_number,side,specifications,supplier,temper,thickness,unit_price,units,wall_thickness,weight_per_unit,width
,265,Bar Square,,"Stainless Steel 430 Square Bar, 1.258"" x 52.9"" length",,BA,430,,,,,52.9,Stainless Steel 430,1,,SS-430-BS-1258x53,1.258,,MetalSource Pro,,,145.78,inches,,24.18,
,292,Angle,Tempered,"Tool Steel D2 Angle, 2.538"" x 3.569"" x 0.314"" thick",,,D2,,,2.538,3.569,34.5,Tool Steel D2,10,,TS-D2-AN-861,,,MetalSupply Direct,,0.314,474.08,inches,,17.67,
,85,Bar Rectangular,,"Carbon Steel 1008 Rectangular Bar, 1.907"" x 2.554"" x 89.0"" length",,Pickled,1008,,2.554,,,89.0,Carbon Steel 1008,5,,CS-1008-BX-1907x2554x89,,,MetalDistributors LLC,,,252.99,inches,,122.84,1.907
,157,Angle,,"Carbon Steel 4130 Angle, 3.141"" x 7.628"" x 0.144"" thick",,Hot Rolled,4130,,,3.141,7.628,51.8,Carbon Steel 4130,100,,CS-4130-AN-720,,,PremiumSteel Inc,,0.144,54.56,inches,,22.46,
,648,Tube Square,,"Stainless Steel 316 Tube Square, 7.932"" x 7.932"" x 0.265"" wall",,No. 8,316,,7.932,,,198.1,Stainless Steel 316,25,,SS-316-TS-7932x7932x0265,,,SteelWorks Express,,,3506.05,inches,0.265,464.96,7.932
,12,Sheet,,"Stainless Steel 317 Sheet, 50.34"" x 70.14"" x 1.267"" thick",,No. 8,317,,,,,50.34,Stainless Steel 317,25,,SS-317-SH-50x70x1267,,,PremiumSteel Inc,,1.267,4977.9,inches,,1291.97,70.14
,216,Tube Round,,"Carbon Steel 4140 Round Tube, 1.714"" OD x 0.692"" wall x 115.9"" length",,Pickled,4140,,,,,115.9,Carbon Steel 4140,100,1.714,CS-4140-TR-OD1714x0692x116,,,AlloyMasters Corp,,,212.26,inches,0.692,72.97,
,994,Channel,,Brass C360 Channel,,,C360,,,,,,Brass C360,1,,BR-C360-CH-502,,,SteelTech Solutions,H01,,35.74,inches,,3.07,
0.277,925,Bar Hex,,"Alloy Steel 8620 Hexagonal Bar, 0.277"" across flats x 71.8"" length",,,8620,Stress Relieved,,,,71.8,Alloy Steel 8620,1,,AS-8620-BH-HEX0277x72,,,IndustrialMetals Inc,,,11.02,inches,,4.06,
,773,Bar Rectangular,Annealed,"Titanium Grade 12 Rectangular Bar, 7.217"" x 0.645"" x 42.4"" length",,,Grade 12,,0.645,,,42.4,Titanium Grade 12,25,,TI-Grade 12-BX-7217x0645x42,,,CopperSource Ltd,,,1909.93,inches,,32.06,7.217
,803,Sheet,,"Aluminum 6063 Sheet, 60.05"" x 16.57"" x 1.092"" thick",,Powder Coated,6063,,,,,60.05,Aluminum 6063,100,,AL-6063-SH-60x17x1092,,,MetalSource Pro,H32,1.092,259.0,inches,,105.91,16.57
,953,Bar Rectangular,Solution Annealed,"Nickel Alloy Monel 400 Rectangular Bar, 5.819"" x 3.438"" x 238.2"" length",,,Monel 400,,3.438,,,238.2,Nickel Alloy Monel 400,1,,NI-Monel 400-BX-5819x3438x238,,,CopperSource Ltd,,,131260.74,inches,,1445.05,5.819
,813,Tube Square,,"Stainless Steel 304 Tube Square, 3.529"" x 3.529"" x 0.443"" wall",,Brushed,304,,3.529,,,34.9,Stainless Steel 304,50,,SS-304-TS-3529x3529x0443,,,AlloyMasters Corp,,,432.43,inches,0.443,55.12,3.529
,366,Foil,,"Stainless Steel 304 Foil, 37.0"" wide x 0.0097"" thick x 9198.0 feet",,Mill,304,,,,,9198.0,Stainless Steel 304,1,,SS-304-FL-618,,,SpecialtyAlloys Ltd,,0.0097,208739.58,feet,,11440.51,37.0
3.413,753,Bar Hex,,"Carbon Steel 1045 Hexagonal Bar, 3.413"" across flats x 123.8"" length",,Hot Rolled,1045,,,,,123.8,Carbon Steel 1045,5,,CS-1045-BH-HEX3413x124,,,MetalDepot Supply,,,1774.83,inches,,1061.72,
,663,Bar Round,,"Copper 195 Round Bar, 11.514"" diameter x 201.0"" length",11.514,,195,,,,,201.0,Copper 195,10,,CU-195-BR-D11514x201,,,PrecisionMetal Co,Half Hard,,72454.57,inches,,6769.45,
,584,Wire,Work Hardened,"Bronze C954 Wire, 0.2799"" diameter x 3474.0 feet",0.2799,,C954,,,,,3474.0,Bronze C954,25,,BZ-C954-WR-200,,,MetalDepot Supply,,,15736.06,feet,,814.88,
,220,Angle,,"Brass C230 Angle, 4.758"" x 2.037"" x 0.218"" thick",,,C230,,,4.758,2.037,75.4,Brass C230,100,,BR-C230-AN-488,,,AlloySupply Corp,H04,0.218,407.7,inches,,33.17,
,639,Plate,Aged,"Titanium Grade 5 Plate, 129.12"" x 36.52"" x 2.739"" thick",,,Grade 5,,,,,129.12,Titanium Grade 5,25,,TI-Grade 5-PL-129x37x2739,,,PrecisionMetal Co,,2.739,76227.84,inches,,2098.15,36.52
,736,Bar Round,,"Brass C240 Round Bar, 9.571"" diameter x 51.3"" length",9.571,,C240,,,,,51.3,Brass C240,50,,BR-C240-BR-D9571x51,,,MetalTech Industries,H01,,9422.85,inches,,1132.52,
,304,Bar Round,,"Aluminum 1100 Round Bar, 0.261"" diameter x 213.5"" length",0.261,Anodized,1100,,,,,213.5,Aluminum 1100,1,,AL-1100-BR-D0261x214,,,AlloyMasters Corp,T651,,2.98,inches,,1.11,
,504,Beam I,Cold Worked,Nickel Alloy Inconel 600 Beam I,,,Inconel 600,,,,,,Nickel Alloy Inconel 600,5,,NI-Inconel 600-BM-754,,,TitaniumPro Inc,,,339.72,inches,,3.03,
,969,Bar Rectangular,Aged,"Nickel Alloy Hastelloy C276 Rectangular Bar, 7.836"" x 3.58"" x 12.7"" length",,,Hastelloy C276,,3.58,,,12.7,Nickel Alloy Hastelloy C276,100,,NI-Hastelloy C276-BX-7836x3580x13,,,SteelSolutions Pro,,,10096.32,inches,,108.04,7.836
,876,Beam I,,Copper 195 Beam I,,,195,,,,,,Copper 195,1,,CU-195-BM-184,,,SteelWorks Express,Soft,,51.13,inches,,3.23,
,772,Channel,,Brass C240 Channel,,,C240,,,,,,Brass C240,5,,BR-C240-CH-167,,,MetalWarehouse Co,H02,,33.11,inches,,3.07,
,501,Sheet,,"Brass C360 Sheet, 120.24"" x 84.8"" x 0.134"" thick",,,C360,,,,,120.24,Brass C360,50,,BR-C360-SH-120x85x0134,,,AlloyExperts Inc,O60,0.134,3401.09,inches,,419.25,84.8
,418,Bar Square,Work Hardened,"Bronze C220 Square Bar, 3.997"" x 122.6"" length",,,C220,,,,,122.6,Bronze C220,1,,BZ-C220-BS-3997x123,3.997,,AlloyExperts Inc,,,6420.55,inches,,622.23,
,600,Tube Round,,"Carbon Steel 8620 Round Tube, 6.426"" OD x 0.812"" wall x 183.0"" length",,Zinc Plated,8620,,,,,183.0,Carbon Steel 8620,5,6.426,CS-8620-TR-OD6426x0812x183,,,AlloyExperts Inc,,,1631.86,inches,0.812,742.69,
,14,Bar Square,Cold Worked,"Nickel Alloy Inconel 625 Square Bar, 1.676"" x 87.4"" length",,,Inconel 625,,,,,87.4,Nickel Alloy Inconel 625,1,,NI-Inconel 625-BS-1676x87,1.676,,SteelMasters Ltd,,,7361.76,inches,,74.45,
,4,Wire,,"Carbon Steel 1045 Wire, 0.1534"" diameter x 7944.0 feet",0.1534,Galvanized,1045,,,,,7944.0,Carbon Steel 1045,10,,CS-1045-WR-612,,,TitaniumPro Inc,,,1194.38,feet,,499.27,
,539,Plate,,"Alloy Steel 9310 Plate, 162.61"" x 96.06"" x 1.675"" thick",,,9310,Stress Relieved,,,,162.61,Alloy Steel 9310,1,,AS-9310-PL-163x96x1675,,,AluminumDirect,,1.675,14655.41,inches,,7414.49,96.06
,697,Tube Square,,"Brass C260 Tube Square, 7.194"" x 7.194"" x 0.227"" wall",,,C260,,7.194,,,176.4,Brass C260,1,,BR-C260-TS-7194x7194x0227,,,MetalCrafters Inc,O60,,3453.06,inches,0.227,342.42,7.194
,344,Angle,Solution Annealed,"Nickel Alloy Inconel 718 Angle, 0.983"" x 4.607"" x 0.661"" thick",,,Inconel 718,,,0.983,4.607,34.4,Nickel Alloy Inconel 718,50,,NI-Inconel 718-AN-840,,,SteelConnection,,0.661,3631.1,inches,,33.99,
,114,Plate,,"Aluminum 6063 Plate, 197.37"" x 86.22"" x 9.864"" thick",,Clad,6063,,,,,197.37,Aluminum 6063,1,,AL-6063-PL-197x86x9864,,,CopperSource Ltd,O,9.864,47497.24,inches,,16361.13,86.22
,969,Beam I,Work Hardened,Bronze C510 Beam I,,,C510,,,,,,Bronze C510,1,,BZ-C510-BM-170,,,SteelSolutions Pro,,,32.44,inches,,3.18,
,272,Bar Square,,"Aluminum 7075 Square Bar, 4.747"" x 192.6"" length",,Painted,7075,,,,,192.6,Aluminum 7075,1,,AL-7075-BS-4747x193,4.747,,SteelMasters Ltd,T3,,1467.36,inches,,423.02,
,232,Tube Round,,"Aluminum 2024 Round Tube, 10.727"" OD x 0.898"" wall x 216.1"" length",,Clad,2024,,,,,216.1,Aluminum 2024,25,10.727,AL-2024-TR-OD10727x0898x216,,,MetalDistributors LLC,T4,,2212.76,inches,0.898,584.06,
,62,Tube Rectangular,Annealed,"Titanium Grade 5 Tube Rectangular, 6.659"" x 1.15"" x 0.223"" wall",,,Grade 5,,1.15,,,22.6,Titanium Grade 5,1,,TI-Grade 5-TX-6659x1150x0223,,,TitaniumPro Inc,,,1073.82,inches,0.223,12.06,6.659
,73,Tube Round,,"Alloy Steel 4140 Round Tube, 10.056"" OD x 0.202"" wall x 224.6"" length",,,4140,Stress Relieved,,,,224.6,Alloy Steel 4140,1,10.056,AS-4140-TR-OD10056x0202x225,,,SteelCorp Supply,,,1438.55,inches,0.202,398.02,
,864,Tube Round,Aged,"Titanium Grade 2 Round Tube, 4.29"" OD x 0.151"" wall x 105.1"" length",,,Grade 2,,,,,105.1,Titanium Grade 2,1,4.29,TI-Grade 2-TR-OD4290x0151x105,,,PrecisionMetal Co,,,1866.07,inches,0.151,33.52,
,545,Beam I,,Carbon Steel 4140 Beam I,,Cold Rolled,4140,,,,,,Carbon Steel 4140,25,,CS-4140-BM-136,,,MetalSupply Direct,,,5.69,inches,,2.83,
3.016,217,Bar Hex,,"Brass C260 Hexagonal Bar, 3.016"" across flats x 75.9"" length",,,C260,,,,,75.9,Brass C260,100,,BR-C260-BH-HEX3016x76,,,SteelTech Solutions,O50,,7053.0,inches,,550.39,
,57,Beam I,,Aluminum 2024 Beam I,,Anodized,2024,,,,,,Aluminum 2024,1,,AL-2024-BM-533,,,TitaniumPro Inc,H14,,2.24,inches,,0.97,
,549,Tube Rectangular,,"Stainless Steel 430 Tube Rectangular, 7.659"" x 4.155"" x 0.299"" wall",,Mill,430,,4.155,,,40.6,Stainless Steel 430,1,,SS-430-TX-7659x4155x0299,,,CopperSource Ltd,,,462.96,inches,0.299,78.64,7.659
,227,Tube Round,Heat Treated,"Bronze C932 Round Tube, 1.129"" OD x 0.721"" wall x 20.0"" length",,,C932,,,,,20.0,Bronze C932,1,1.129,BZ-C932-TR-OD1129x0721x20,,,MetalSupply Direct,,,65.5,inches,0.721,5.87,
,167,Tube Square,,"Stainless Steel 316 Tube Square, 6.633"" x 6.633"" x 0.294"" wall",,Polished,316,,6.633,,,30.5,Stainless Steel 316,50,,SS-316-TS-6633x6633x0294,,,BrassWorks LLC,,,542.71,inches,0.294,65.66,6.633
,331,Foil,,"Brass C260 Foil, 7.0"" wide x 0.0059"" thick x 1032.0 feet",,,C260,,,,,1032.0,Brass C260,25,,BR-C260-FL-597,,,MetalTech Industries,H04,0.0059,4094.3,feet,,156.94,7.0
,165,Plate,,"Carbon Steel 4130 Plate, 156.34"" x 32.12"" x 0.294"" thick",,Cold Rolled,4130,,,,,156.34,Carbon Steel 4130,10,,CS-4130-PL-156x32x0294,,,MetalTech Industries,,0.294,676.89,inches,,418.38,32.12
,135,Bar Rectangular,Work Hardened,"Bronze C954 Rectangular Bar, 4.104"" x 2.806"" x 238.2"" length",,,C954,,2.806,,,238.2,Bronze C954,5,,BZ-C954-BX-4104x2806x238,,,AlloySupply Corp,,,8926.77,inches,,871.42,4.104
,286,Bar Square,,"Copper 195 Square Bar, 5.048"" x 132.2"" length",,,195,,,,,132.2,Copper 195,1,,CU-195-BS-5048x132,5.048,,MetalMart Industries,Hard,,18869.06,inches,,1089.65,
,614,Bar Round,,"Brass C230 Round Bar, 2.902"" diameter x 155.8"" length",2.902,,C230,,,,,155.8,Brass C230,50,,BR-C230-BR-D2902x156,,,AluminumDirect,H02,,2346.19,inches,,316.21,
,603,Angle,,"Copper 110 Angle, 4.406"" x 3.769"" x 0.978"" thick",,,110,,,4.406,3.769,184.5,Copper 110,50,,CU-110-AN-553,,,SteelConnection,Spring,0.978,7280.51,inches,,420.05,
,258,Bar Rectangular,,"Brass C240 Rectangular Bar, 1.443"" x 2.125"" x 196.9"" length",,,C240,,2.125,,,196.9,Brass C240,50,,BR-C240-BX-1443x2125x197,,,CopperSource Ltd,H01,,1716.6,inches,,185.27,1.443
,837,Angle,Aged,"Titanium Grade 12 Angle, 6.651"" x 5.332"" x 0.218"" thick",,,Grade 12,,,6.651,5.332,96.1,Titanium Grade 12,1,,TI-Grade 12-AN-369,,,SteelTech Solutions,,0.218,2641.88,inches,,40.04,
,659,Tube Square,,"Aluminum 5052 Tube Square, 3.259"" x 3.259"" x 0.304"" wall",,Painted,5052,,3.259,,,196.2,Aluminum 5052,5,,AL-5052-TS-3259x3259x0304,,,CopperSource Ltd,T651,,313.36,inches,0.304,68.72,3.259
,956,Angle,,"Aluminum 6061 Angle, 7.272"" x 3.459"" x 0.879"" thick",,Mill,6061,,,7.272,3.459,43.5,Aluminum 6061,1,,AL-6061-AN-376,,,MetalDistributors LLC,T4,0.879,106.76,inches,,36.72,
,352,Tube Round,Hardened,"Tool Steel S7 Round Tube, 9.161"" OD x 0.456"" wall x 230.0"" length",,,S7,,,,,230.0,Tool Steel S7,10,9.161,TS-S7-TR-OD9161x0456x230,,,MetalWarehouse Co,,,23814.55,inches,0.456,807.63,
,538,Angle,,"Copper 145 Angle, 0.512"" x 4.394"" x 0.224"" thick",,,145,,,0.512,4.394,109.4,Copper 145,1,,CU-145-AN-825,,,SteelTech Solutions,Hard,0.224,466.86,inches,,37.11,
,765,Bar Square,Annealed,"Tool Steel M2 Square Bar, 2.366"" x 43.9"" length",,,M2,,,,,43.9,Tool Steel M2,1,,TS-M2-BS-2366x44,2.366,,AlloyExperts Inc,,,1705.53,inches,,69.2,
3.9,399,Bar Hex,,"Aluminum 3003 Hexagonal Bar, 3.9"" across flats x 49.6"" length",,Mill,3003,,,,,49.6,Aluminum 3003,50,,AL-3003-BH-HEX3900x50,,,PrecisionMetal Co,O,,567.97,inches,,191.04,
,526,Channel,,Stainless Steel 430 Channel,,2B,430,,,,,,Stainless Steel 430,1,,SS-430-CH-674,,,SteelCorp Supply,,,17.79,inches,,2.89,
,565,Tube Square,,"Stainless Steel 420 Tube Square, 3.735"" x 3.735"" x 0.164"" wall",,Polished,420,,3.735,,,16.3,Stainless Steel 420,1,,SS-420-TS-3735x3735x0164,,,MetalSupply Direct,,,73.29,inches,0.164,11.03,3.735
,228,Beam I,Solution Treated,Titanium Grade 9 Beam I,,,Grade 9,,,,,,Titanium Grade 9,50,,TI-Grade 9-BM-970,,,MetalCrafters Inc,,,81.72,inches,,1.62,
,671,Angle,,"Copper 195 Angle, 0.928"" x 2.291"" x 0.556"" thick",,,195,,,0.928,2.291,92.9,Copper 195,1,,CU-195-AN-354,,,SteelWorks Express,Half Hard,0.556,658.49,inches,,44.49,
,636,Beam I,Annealed,Tool Steel H13 Beam I,,,H13,,,,,,Tool Steel H13,25,,TS-H13-BM-207,,,MetalSource Pro,,,89.64,inches,,2.82,
,862,Tube Rectangular,Tempered,"Tool Steel H13 Tube Rectangular, 7.258"" x 0.951"" x 0.118"" wall",,,H13,,0.951,,,95.9,Tool Steel H13,1,,TS-H13-TX-7258x0951x0118,,,IndustrialMetals Inc,,,2326.93,inches,0.118,50.81,7.258
,719,Tube Round,,"Brass C360 Round Tube, 11.754"" OD x 0.973"" wall x 152.4"" length",,,C360,,,,,152.4,Brass C360,10,11.754,BR-C360-TR-OD11754x0973x152,,,IndustrialMetals Inc,H02,,19908.15,inches,0.973,1541.11,
,98,Bar Round,Annealed,"Titanium Grade 1 Round Bar, 2.715"" diameter x 207.2"" length",2.715,,Grade 1,,,,,207.2,Titanium Grade 1,5,,TI-Grade 1-BR-D2715x207,,,AlumTech Solutions,,,10874.28,inches,,194.87,
,691,Bar Round,,"Carbon Steel 1018 Round Bar, 7.735"" diameter x 160.9"" length",7.735,Pickled,1018,,,,,160.9,Carbon Steel 1018,10,,CS-1018-BR-D7735x161,,,MetalMart Industries,,,3143.76,inches,,2142.61,
,344,Tube Rectangular,,"Carbon Steel 4140 Tube Rectangular, 5.648"" x 3.969"" x 0.224"" wall",,Pickled,4140,,3.969,,,200.1,Carbon Steel 4140,10,,CS-4140-TX-5648x3969x0224,,,SpecialtyAlloys Ltd,,,653.39,inches,0.224,232.93,5.648
,920,Wire,,"Alloy Steel 9310 Wire, 0.0915"" diameter x 3515.0 feet",0.0915,,9310,Stress Relieved,,,,3515.0,Alloy Steel 9310,1,,AS-9310-WR-656,,,PremiumSteel Inc,,,322.11,feet,,78.6,
,216,Angle,,"Brass C230 Angle, 6.977"" x 3.049"" x 0.593"" thick",,,C230,,,6.977,3.049,189.1,Brass C230,50,,BR-C230-AN-813,,,SteelWorks Express,O60,0.593,3870.57,inches,,324.58,
,186,Channel,,Stainless Steel 420 Channel,,BA,420,,,,,,Stainless Steel 420,100,,SS-420-CH-772,,,TitaniumPro Inc,,,18.56,inches,,2.89,
,394,Bar Round,Aged,"Nickel Alloy Inconel 625 Round Bar, 3.715"" diameter x 122.0"" length",3.715,,Inconel 625,,,,,122.0,Nickel Alloy Inconel 625,1,,NI-Inconel 625-BR-D3715x122,,,AlloySupply Corp,,,34927.47,inches,,401.01,
,373,Tube Rectangular,Annealed,"Titanium Grade 5 Tube Rectangular, 3.559"" x 1.537"" x 0.217"" wall",,,Grade 5,,1.537,,,171.5,Titanium Grade 5,1,,TI-Grade 5-TX-3559x1537x0217,,,AlloyExperts Inc,,,4100.39,inches,0.217,56.37,3.559
,473,Wire,,"Brass C230 Wire, 0.2685"" diameter x 4603.0 feet",0.2685,,C230,,,,,4603.0,Brass C230,1,,BR-C230-WR-538,,,MetalTech Industries,O50,,12400.79,feet,,959.68,
,597,Bar Square,,"Alloy Steel 4340 Square Bar, 3.818"" x 176.4"" length",,,4340,Tempered,,,,176.4,Alloy Steel 4340,10,,AS-4340-BS-3818x176,3.818,,MetalSource Pro,,,2114.32,inches,,728.7,
,275,Tube Rectangular,As Cast,"Bronze C510 Tube Rectangular, 1.299"" x 4.113"" x 0.123"" wall",,,C510,,4.113,,,84.1,Bronze C510,1,,BZ-C510-TX-1299x4113x0123,,,AlloyExperts Inc,,,485.76,inches,0.123,33.95,1.299
,524,Angle,,"Stainless Steel 321 Angle, 1.335"" x 2.519"" x 0.567"" thick",,No. 8,321,,,1.335,2.519,47.4,Stainless Steel 321,1,,SS-321-AN-707,,,AlloySupply Corp,,0.567,150.23,inches,,25.51,
0.679,557,Bar Hex,As Cast,"Bronze C220 Hexagonal Bar, 0.679"" across flats x 24.1"" length",,,C220,,,,,24.1,Bronze C220,1,,BZ-C220-BH-HEX0679x24,,,SteelCorp Supply,,,113.81,inches,,9.17,
5.997,355,Bar Hex,,"Stainless Steel 317 Hexagonal Bar, 5.997"" across flats x 42.1"" length",,2B,317,,,,,42.1,Stainless Steel 317,100,,SS-317-BH-HEX5997x42,,,AlloySupply Corp,,,8291.05,inches,,1136.02,
,458,Channel,,Carbon Steel 1008 Channel,,Hot Rolled,1008,,,,,,Carbon Steel 1008,1,,CS-1008-CH-150,,,MetalCrafters Inc,,,6.26,inches,,2.83,
,774,Tube Round,Annealed,"Titanium Grade 1 Round Tube, 2.808"" OD x 0.83"" wall x 98.9"" length",,,Grade 1,,,,,98.9,Titanium Grade 1,50,2.808,TI-Grade 1-TR-OD2808x0830x99,,,MetalMart Industries,,,5308.85,inches,0.83,82.86,
,244,Tube Rectangular,Solution Annealed,"Nickel Alloy Hastelloy C276 Tube Rectangular, 7.373"" x 4.777"" x 0.097"" wall",,,Hastelloy C276,,4.777,,,13.8,Nickel Alloy Hastelloy C276,1,,NI-Hastelloy C276-TX-7373x4777x0097,,,BrassWorks LLC,,,1050.45,inches,0.097,9.71,7.373
,414,Channel,,Copper 195 Channel,,,195,,,,,,Copper 195,5,,CU-195-CH-118,,,CopperSource Ltd,Spring,,47.46,inches,,3.23,
,910,Plate,Annealed,"Titanium Grade 12 Plate, 113.14"" x 31.46"" x 8.96"" thick",,,Grade 12,,,,,113.14,Titanium Grade 12,10,,TI-Grade 12-PL-113x31x8960,,,MetalCraft Supply,,8.96,207359.92,inches,,5180.87,31.46
0.996,95,Bar Hex,,"Brass C464 Hexagonal Bar, 0.996"" across flats x 61.9"" length",,,C464,,,,,61.9,Brass C464,5,,BR-C464-BH-HEX0996x62,,,MetalCrafters Inc,H01,,403.09,inches,,48.95,
,369,Sheet,Tempered,"Tool Steel O1 Sheet, 81.55"" x 33.05"" x 1.553"" thick",,,O1,,,,,81.55,Tool Steel O1,10,,TS-O1-SH-82x33x1553,,,AlloyMasters Corp,,1.553,26904.34,inches,,1178.61,33.05
,169,Bar Rectangular,Cold Worked,"Nickel Alloy Inconel 718 Rectangular Bar, 7.23"" x 2.071"" x 161.0"" length",,,Inconel 718,,2.071,,,161.0,Nickel Alloy Inconel 718,100,,NI-Inconel 718-BX-7230x2071x161,,,AlloyExperts Inc,,,54408.44,inches,,731.02,7.23
,123,Beam I,Annealed,Tool Steel D2 Beam I,,,D2,,,,,,Tool Steel D2,1,,TS-D2-BM-510,,,MetalWarehouse Co,,,94.43,inches,,2.82,
,371,Bar Round,Annealed,"Tool Steel A2 Round Bar, 8.428"" diameter x 133.1"" length",8.428,,A2,,,,,133.1,Tool Steel A2,50,,TS-A2-BR-D8428x133,,,AluminumDirect,,,65570.69,inches,,2090.83,
,527,Bar Rectangular,,"Alloy Steel A992 Rectangular Bar, 6.959"" x 1.714"" x 139.4"" length",,,A992,Normalized,1.714,,,139.4,Alloy Steel A992,1,,AS-A992-BX-6959x1714x139,,,MetalMart Industries,,,889.44,inches,,471.19,6.959
,390,Channel,,Aluminum 7075 Channel,,Clad,7075,,,,,,Aluminum 7075,1,,AL-7075-CH-393,,,MetalTech Industries,H14,,3.71,inches,,0.97,
,885,Tube Round,,"Aluminum 1100 Round Tube, 1.233"" OD x 0.889"" wall x 91.1"" length",,Powder Coated,1100,,,,,91.1,Aluminum 1100,1,1.233,AL-1100-TR-OD1233x0889x91,,,SteelWorks Express,H18,,28.52,inches,0.889,8.53,
,904,Channel,,Copper 145 Channel,,,145,,,,,,Copper 145,100,,CU-145-CH-413,,,MetalDepot Supply,Spring,,60.51,inches,,3.23,
,679,Bar Round,,"Carbon Steel 1018 Round Bar, 8.275"" diameter x 208.2"" length",8.275,Hot Rolled,1018,,,,,208.2,Carbon Steel 1018,1,,CS-1018-BR-D8275x208,,,MetalDistributors LLC,,,4168.25,inches,,3173.1,
,376,Tube Round,,"Carbon Steel 1045 Round Tube, 3.187"" OD x 0.504"" wall x 122.4"" length",,Zinc Plated,1045,,,,,122.4,Carbon Steel 1045,10,3.187,CS-1045-TR-OD3187x0504x122,,,MetalDepot Supply,,,352.3,inches,0.504,147.35,
,291,Plate,,"Alloy Steel A572 Plate, 29.5"" x 70.01"" x 0.768"" thick",,,A572,Annealed,,,,29.5,Alloy Steel A572,50,,AS-A572-PL-30x70x0768,,,AlloyExperts Inc,,0.768,912.44,inches,,449.49,70.01
,343,Tube Square,,"Stainless Steel 420 Tube Square, 1.331"" x 1.331"" x 0.124"" wall",,No. 4,420,,1.331,,,126.3,Stainless Steel 420,1,,SS-420-TS-1331x1331x0124,,,AlumTech Solutions,,,191.56,inches,0.124,21.84,1.331
,800,Wire,Annealed,"Titanium Grade 9 Wire, 0.0166"" diameter x 9832.0 feet",0.0166,,Grade 9,,,,,9832.0,Titanium Grade 9,5,,TI-Grade 9-WR-146,,,TitaniumPro Inc,,,322.67,feet,,4.15,
1.684,685,Bar Hex,,"Carbon Steel 1018 Hexagonal Bar, 1.684"" across flats x 107.4"" length",,Hot Rolled,1018,,,,,107.4,Carbon Steel 1018,1,,CS-1018-BH-HEX1684x107,,,MetalCrafters Inc,,,488.28,inches,,224.24,
1.004,635,Bar Hex,Solution Treated,"Titanium Grade 1 Hexagonal Bar, 1.004"" across flats x 113.9"" length",,,Grade 1,,,,,113.9,Titanium Grade 1,25,,TI-Grade 1-BH-HEX1004x114,,,CopperSource Ltd,,,2737.83,inches,,48.46,
,266,Tube Round,,"Brass C464 Round Tube, 1.395"" OD x 0.294"" wall x 21.2"" length",,,C464,,,,,21.2,Brass C464,1,1.395,BR-C464-TR-OD1395x0294x21,,,MetalWarehouse Co,H04,,76.0,inches,0.294,6.62,
,30,Angle,,"Copper 110 Angle, 4.576"" x 4.285"" x 0.414"" thick",,,110,,,4.576,4.285,158.1,Copper 110,1,,CU-110-AN-213,,,MetalSource Pro,Hard,0.414,2416.13,inches,,178.83,
,693,Bar Round,Annealed,"Titanium Grade 2 Round Bar, 4.632"" diameter x 62.8"" length",4.632,,Grade 2,,,,,62.8,Titanium Grade 2,1,,TI-Grade 2-BR-D4632x63,,,SteelMasters Ltd,,,7351.79,inches,,171.91,
,154,Bar Round,As Cast,"Bronze C630 Round Bar, 2.275"" diameter x 239.1"" length",2.275,,C630,,,,,239.1,Bronze C630,1,,BZ-C630-BR-D2275x239,,,SteelConnection,,,3328.93,inches,,308.76,
,684,Beam I,,Carbon Steel 8620 Beam I,,Galvanized,8620,,,,,,Carbon Steel 8620,5,,CS-8620-BM-534,,,IndustrialMetals Inc,,,4.89,inches,,2.83,
4.699,719,Bar Hex,Annealed,"Titanium Grade 5 Hexagonal Bar, 4.699"" across flats x 14.2"" length",,,Grade 5,,,,,14.2,Titanium Grade 5,1,,TI-Grade 5-BH-HEX4699x14,,,AlumTech Solutions,,,7591.28,inches,,132.33,
,782,Beam I,,Alloy Steel A992 Beam I,,,A992,Tempered,,,,,Alloy Steel A992,1,,AS-A992-BM-248,,,AlloyMasters Corp,,,6.33,inches,,2.83,
,213,Bar Round,Solution Treated,"Titanium Grade 9 Round Bar, 6.225"" diameter x 46.0"" length",6.225,,Grade 9,,,,,46.0,Titanium Grade 9,1,,TI-Grade 9-BR-D6225x46,,,SteelCorp Supply,,,10445.39,inches,,227.43,
,685,Tube Rectangular,,"Alloy Steel A992 Tube Rectangular, 1.154"" x 2.205"" x 0.367"" wall",,,A992,Quenched,2.205,,,108.6,Alloy Steel A992,1,,AS-A992-TX-1154x2205x0367,,,SteelTech Solutions,,,180.61,inches,0.367,59.3,1.154
,476,Tube Rectangular,,"Stainless Steel 316 Tube Rectangular, 2.456"" x 1.28"" x 0.093"" wall",,2B,316,,1.28,,,115.3,Stainless Steel 316,100,,SS-316-TX-2456x1280x0093,,,SteelConnection,,,195.36,inches,0.093,21.99,2.456
1.105,584,Bar Hex,,"Aluminum 6063 Hexagonal Bar, 1.105"" across flats x 83.9"" length",,Mill,6063,,,,,83.9,Aluminum 6063,5,,AL-6063-BH-HEX1105x84,,,SteelTech Solutions,H18,,101.16,inches,,25.94,
